STD_CODE,REGIS_YEAR,REGIS_SEMESTER
5851000017,2558,2
5851000058,2558,2
5851000074,2562,2
5851000082,2560,2
5851000116,2561,2
5851000124,2559,2
5851000132,2564,2
5851000173,2563,2
5851000181,2559,2
5851000181,2560,1
5851000181,2561,1
5851000181,2561,2
5851000181,2562,1
5851000181,2562,2
5851000181,2565,2
5851000207,2560,2
5851000249,2558,2
5851000256,2561,2
5851000272,2562,2
5851000280,2559,1
5851000298,2558,2
5851000306,2558,2
5851000355,2558,2
5851000363,2561,2
5851000371,2558,2
5851000421,2558,2
5851000488,2563,2
5851000488,2565,2
5851000496,2558,2
5851000546,2562,2
5851000553,2558,2
5851000553,2559,2
5851000561,2563,2
5851000579,2561,2
5851000660,2558,2
5851000686,2562,2
5851000702,2560,2
5851000710,2558,2
5851000728,2559,2
5851000736,2558,2
5851000744,2561,2
5851000777,2563,1
5851000777,2564,2
5851000819,2560,2
5851000827,2559,2
5851000827,2560,2
5851000843,2561,2
5851000850,2560,2
5851000868,2558,2
5851000876,2558,2
5851000892,2559,2
5851000900,2558,2
5851000934,2561,2
5851000975,2562,2
5851000975,2563,1
5851001007,2559,2
5851001023,2558,2
5851001049,2561,2
5851001056,2559,1
5851001064,2559,1
5851001072,2561,2
5851001080,2559,2
5851001098,2561,2
5851001106,2559,2
5851001114,2558,2
5851001148,2562,1
5851001148,2563,2
5851001163,2561,1
5851001163,2563,1
5851001163,2563,2
5851001171,2558,2
5851001189,2559,2
5851001189,2560,1
5851001197,2558,2
5851001205,2562,2
5851001213,2558,2
5851001221,2559,2
5851001239,2559,2
5851001254,2559,2
5851001262,2562,2
5851001270,2558,2
5851001296,2558,2
5851001353,2559,2
5851001353,2560,2
5851001353,2561,2
5851001379,2561,2
5851001387,2561,2
5851001395,2558,2
5851001403,2558,2
5851001460,2559,2
5851001478,2558,2
5851001478,2559,1
5851001478,2559,2
5851001478,2562,2
5851001486,2558,2
5851001494,2560,2
5851001502,2559,1
5851001502,2559,2
5851001502,2560,2
5851001502,2561,2
5851001510,2558,2
5851001528,2558,2
5851001544,2558,2
5851001544,2559,1
5851001544,2563,2
5851001551,2558,2
5851001585,2564,2
5851001601,2559,2
5851001643,2558,2
5851001650,2558,2
5851001668,2559,2
5851001668,2560,2
